"uid"	"locationID"	"laboratoryName"	"sequencingFacilityID"	"setDate"	"collectDate"	"sequencerRunID"	"dnaSampleID"	"dnaSampleFate"	"dnaSampleCode"	"internalLabID"	"rawDataFileName"	"rawDataFileDescription"	"parentFolderName"	"rawDataFilePath"	"remarks"	"dataQF"	"Primary Sample Class"	"Data Product"	"Table"
"830ee522-1f39-4656-a49d-9ad9224a73c3"	"WOOD_002.basePlot.bgc"	"Argonne National Laboratory"	"Argonne National Laboratory"	"2014-09-25T16:32:00.000+0000"	"2014-09-25T16:51:00.000+0000"	"run20150603"	"WOOD_002-M-20140925-COMP-DNA1"	"active"	""	""	"WOOD_002-M-20140925-comp_R2.fastq.gz"	"Reverse reads from Illumina bidirectional sequencing run"	"2017"	"https://neon-microbial-raw-seq-files.s3.data.neonscience.org/2017/WOOD_002-M-20140925-comp_R2.fastq.gz"	""	"legacyData"	"mic_dnaExtraction_in.soilDnaSampleID"	"NEON.DOM.SITE.DP0.10107.001"	"mms_rawDataFiles_in"
"28272213-f2fc-4769-a4d4-5dd397129c95"	"WOOD_002.basePlot.bgc"	"Argonne National Laboratory"	"Argonne National Laboratory"	"2014-09-25T16:32:00.000+0000"	"2014-09-25T16:51:00.000+0000"	"run20150603"	"WOOD_002-M-20140925-COMP-DNA1"	"active"	""	""	"WOOD_002-M-20140925-comp_R1.fastq.gz"	"Forward reads from Illumina bidirectional sequencing run"	"2017"	"https://neon-microbial-raw-seq-files.s3.data.neonscience.org/2017/WOOD_002-M-20140925-comp_R1.fastq.gz"	""	"legacyData"	"mic_dnaExtraction_in.soilDnaSampleID"	"NEON.DOM.SITE.DP0.10107.001"	"mms_rawDataFiles_in"
"564adc32-4d19-44b5-b472-bdd4d0d9012d"	"WOOD_003.basePlot.bgc"	"Argonne National Laboratory"	"Argonne National Laboratory"	"2014-09-25T15:23:00.000+0000"	"2014-09-25T15:44:00.000+0000"	"run20150603"	"WOOD_003-M-20140925-COMP-DNA1"	"active"	""	""	"WOOD_003-M-20140925-comp_R1.fastq.gz"	"Forward reads from Illumina bidirectional sequencing run"	"2017"	"https://neon-microbial-raw-seq-files.s3.data.neonscience.org/2017/WOOD_003-M-20140925-comp_R1.fastq.gz"	""	"legacyData"	"mic_dnaExtraction_in.soilDnaSampleID"	"NEON.DOM.SITE.DP0.10107.001"	"mms_rawDataFiles_in"
"c596b4a5-3a5c-481f-ab41-09f70156c02b"	"WOOD_003.basePlot.bgc"	"Argonne National Laboratory"	"Argonne National Laboratory"	"2014-09-25T15:23:00.000+0000"	"2014-09-25T15:44:00.000+0000"	"run20150603"	"WOOD_003-M-20140925-COMP-DNA1"	"active"	""	""	"WOOD_003-M-20140925-comp_R2.fastq.gz"	"Reverse reads from Illumina bidirectional sequencing run"	"2017"	"https://neon-microbial-raw-seq-files.s3.data.neonscience.org/2017/WOOD_003-M-20140925-comp_R2.fastq.gz"	""	"legacyData"	"mic_dnaExtraction_in.soilDnaSampleID"	"NEON.DOM.SITE.DP0.10107.001"	"mms_rawDataFiles_in"
"a7a76987-719d-4d27-856e-df20cd5fdf4f"	"WOOD_001.basePlot.bgc"	"Argonne National Laboratory"	"Argonne National Laboratory"	"2014-09-25T14:12:00.000+0000"	"2014-09-25T14:33:00.000+0000"	"run20150603"	"WOOD_001-M-20140925-COMP-DNA1"	"active"	""	""	"WOOD_001-M-20140925-comp_R1.fastq.gz"	"Forward reads from Illumina bidirectional sequencing run"	"2017"	"https://neon-microbial-raw-seq-files.s3.data.neonscience.org/2017/WOOD_001-M-20140925-comp_R1.fastq.gz"	""	"legacyData"	"mic_dnaExtraction_in.soilDnaSampleID"	"NEON.DOM.SITE.DP0.10107.001"	"mms_rawDataFiles_in"
"2492fdce-24e0-4c8a-bbbf-6fd7c45a8c88"	"WOOD_001.basePlot.bgc"	"Argonne National Laboratory"	"Argonne National Laboratory"	"2014-09-25T14:12:00.000+0000"	"2014-09-25T14:33:00.000+0000"	"run20150603"	"WOOD_001-M-20140925-COMP-DNA1"	"active"	""	""	"WOOD_001-M-20140925-comp_R2.fastq.gz"	"Reverse reads from Illumina bidirectional sequencing run"	"2017"	"https://neon-microbial-raw-seq-files.s3.data.neonscience.org/2017/WOOD_001-M-20140925-comp_R2.fastq.gz"	""	"legacyData"	"mic_dnaExtraction_in.soilDnaSampleID"	"NEON.DOM.SITE.DP0.10107.001"	"mms_rawDataFiles_in"
"17f12ab6-78b4-4400-a6c8-74d0c6a634c2"	"OSBS_022.basePlot.bgc"	"Argonne National Laboratory"	"Argonne National Laboratory"	"2014-09-17T16:00:00.000+0000"	"2014-09-17T16:00:00.000+0000"	"run20150603"	"OSBS_022-M-20140917-COMP-DNA1"	"active"	""	""	"OSBS_022-M-20140917-comp_R1.fastq.gz"	"Forward reads from Illumina bidirectional sequencing run"	"2017"	"https://neon-microbial-raw-seq-files.s3.data.neonscience.org/2017/OSBS_022-M-20140917-comp_R1.fastq.gz"	""	"legacyData"	"mic_dnaExtraction_in.soilDnaSampleID"	"NEON.DOM.SITE.DP0.10107.001"	"mms_rawDataFiles_in"
"09350437-f8cb-4403-b87c-77827b9a2bae"	"OSBS_001.basePlot.bgc"	"Argonne National Laboratory"	"Argonne National Laboratory"	"2014-09-17T16:00:00.000+0000"	"2014-09-17T16:00:00.000+0000"	"run20150603"	"OSBS_001-M-20140917-COMP-DNA1"	"active"	""	""	"OSBS_001-M-20140917-comp_R2.fastq.gz"	"Reverse reads from Illumina bidirectional sequencing run"	"2017"	"https://neon-microbial-raw-seq-files.s3.data.neonscience.org/2017/OSBS_001-M-20140917-comp_R2.fastq.gz"	""	"legacyData"	"mic_dnaExtraction_in.soilDnaSampleID"	"NEON.DOM.SITE.DP0.10107.001"	"mms_rawDataFiles_in"
"e36468b5-985d-432c-a617-c658df29867c"	"OSBS_001.basePlot.bgc"	"Argonne National Laboratory"	"Argonne National Laboratory"	"2014-09-17T16:00:00.000+0000"	"2014-09-17T16:00:00.000+0000"	"run20150603"	"OSBS_001-M-20140917-COMP-DNA1"	"active"	""	""	"OSBS_001-M-20140917-comp_R1.fastq.gz"	"Forward reads from Illumina bidirectional sequencing run"	"2017"	"https://neon-microbial-raw-seq-files.s3.data.neonscience.org/2017/OSBS_001-M-20140917-comp_R1.fastq.gz"	""	"legacyData"	"mic_dnaExtraction_in.soilDnaSampleID"	"NEON.DOM.SITE.DP0.10107.001"	"mms_rawDataFiles_in"
"0e22775f-8daf-418f-adf4-10cf56ee3595"	"OSBS_022.basePlot.bgc"	"Argonne National Laboratory"	"Argonne National Laboratory"	"2014-09-17T16:00:00.000+0000"	"2014-09-17T16:00:00.000+0000"	"run20150603"	"OSBS_022-M-20140917-COMP-DNA1"	"active"	""	""	"OSBS_022-M-20140917-comp_R2.fastq.gz"	"Reverse reads from Illumina bidirectional sequencing run"	"2017"	"https://neon-microbial-raw-seq-files.s3.data.neonscience.org/2017/OSBS_022-M-20140917-comp_R2.fastq.gz"	""	"legacyData"	"mic_dnaExtraction_in.soilDnaSampleID"	"NEON.DOM.SITE.DP0.10107.001"	"mms_rawDataFiles_in"
